virus,reference,hi
a/england/658/2012,a/bayern/69/2009,639.9999999999999
a/england/658/2012,a/lviv/n6/2009,1279.9999999999998
a/england/658/2012,a/christchurch/16/2010,639.9999999999999
a/england/658/2012,a/hong_kong/3934/2011,1279.9999999999998
a/england/658/2012,a/astrakhan/1/2011,1279.9999999999998
a/england/658/2012,a/st._petersburg/27/2011,1279.9999999999998
a/england/658/2012,a/st._petersburg/100/2011,5120.0
a/england/658/2012,a/hong_kong/5659/2012,2560.0
a/lyon/2783/2012,a/california/07/2009,1279.9999999999998
a/lyon/2783/2012,a/bayern/69/2009,639.9999999999999
a/lyon/2783/2012,a/lviv/n6/2009,1279.9999999999998
a/lyon/2783/2012,a/christchurch/16/2010,639.9999999999999
a/lyon/2783/2012,a/hong_kong/3934/2011,1279.9999999999998
a/lyon/2783/2012,a/astrakhan/1/2011,1279.9999999999998
a/lyon/2783/2012,a/st._petersburg/27/2011,1279.9999999999998
a/lyon/2783/2012,a/st._petersburg/100/2011,2560.0
a/lyon/2783/2012,a/hong_kong/5659/2012,2560.0
a/lyon_chu/52.271/2013,a/california/07/2009,1279.9999999999998
a/lyon_chu/52.271/2013,a/bayern/69/2009,639.9999999999999
a/lyon_chu/52.271/2013,a/lviv/n6/2009,639.9999999999999
a/lyon_chu/52.271/2013,a/christchurch/16/2010,1279.9999999999998
a/lyon_chu/52.271/2013,a/hong_kong/3934/2011,1279.9999999999998
a/lyon_chu/52.271/2013,a/astrakhan/1/2011,1279.9999999999998
a/lyon_chu/52.271/2013,a/st._petersburg/27/2011,1279.9999999999998
a/lyon_chu/52.271/2013,a/st._petersburg/100/2011,5120.0
a/lyon_chu/52.271/2013,a/hong_kong/5659/2012,5120.0
a/lyon/2/2013,a/california/07/2009,319.99999999999994
a/lyon/2/2013,a/bayern/69/2009,319.99999999999994
a/lyon/2/2013,a/lviv/n6/2009,319.99999999999994
a/lyon/2/2013,a/christchurch/16/2010,319.99999999999994
a/lyon/2/2013,a/hong_kong/3934/2011,639.9999999999999
a/lyon/2/2013,a/astrakhan/1/2011,639.9999999999999
a/lyon/2/2013,a/st._petersburg/27/2011,319.99999999999994
a/lyon/2/2013,a/st._petersburg/100/2011,1279.9999999999998
a/lyon/2/2013,a/hong_kong/5659/2012,1279.9999999999998
a/norway/120/2013,a/california/07/2009,1279.9999999999998
a/norway/120/2013,a/bayern/69/2009,639.9999999999999
a/norway/120/2013,a/lviv/n6/2009,639.9999999999999
a/norway/120/2013,a/christchurch/16/2010,1279.9999999999998
a/norway/120/2013,a/hong_kong/3934/2011,1279.9999999999998
a/norway/120/2013,a/astrakhan/1/2011,1279.9999999999998
a/norway/120/2013,a/st._petersburg/27/2011,1279.9999999999998
a/norway/120/2013,a/st._petersburg/100/2011,5120.0
a/norway/120/2013,a/hong_kong/5659/2012,2560.0
a/limoges/26/2013,a/california/07/2009,319.99999999999994
a/limoges/26/2013,a/bayern/69/2009,319.99999999999994
a/limoges/26/2013,a/lviv/n6/2009,319.99999999999994
a/limoges/26/2013,a/christchurch/16/2010,639.9999999999999
a/limoges/26/2013,a/hong_kong/3934/2011,319.99999999999994
a/limoges/26/2013,a/astrakhan/1/2011,319.99999999999994
a/limoges/26/2013,a/st._petersburg/27/2011,319.99999999999994
a/limoges/26/2013,a/st._petersburg/100/2011,639.9999999999999
a/limoges/26/2013,a/hong_kong/5659/2012,639.9999999999999
a/netherlands/492/2012,a/california/07/2009,2560.0
a/netherlands/492/2012,a/bayern/69/2009,639.9999999999999
a/netherlands/492/2012,a/lviv/n6/2009,1279.9999999999998
a/netherlands/492/2012,a/hong_kong/3934/2011,2560.0
a/netherlands/492/2012,a/astrakhan/1/2011,2560.0
a/netherlands/492/2012,a/st._petersburg/27/2011,1279.9999999999998
a/netherlands/492/2012,a/st._petersburg/100/2011,5120.0
a/netherlands/492/2012,a/hong_kong/5659/2012,5120.0
a/stockholm/27/2012,a/california/07/2009,79.99999999999997
a/stockholm/27/2012,a/bayern/69/2009,319.99999999999994
a/stockholm/27/2012,a/lviv/n6/2009,159.99999999999994
a/stockholm/27/2012,a/hong_kong/3934/2011,79.99999999999997
a/stockholm/27/2012,a/astrakhan/1/2011,79.99999999999997
a/stockholm/27/2012,a/st._petersburg/27/2011,159.99999999999994
a/stockholm/27/2012,a/st._petersburg/100/2011,159.99999999999994
a/stockholm/27/2012,a/hong_kong/5659/2012,159.99999999999994
a/netherlands/507/2012,a/california/07/2009,639.9999999999999
a/netherlands/507/2012,a/bayern/69/2009,319.99999999999994
a/netherlands/507/2012,a/lviv/n6/2009,319.99999999999994
a/netherlands/507/2012,a/hong_kong/3934/2011,159.99999999999994
a/netherlands/507/2012,a/astrakhan/1/2011,159.99999999999994
a/netherlands/507/2012,a/st._petersburg/27/2011,159.99999999999994
a/netherlands/507/2012,a/st._petersburg/100/2011,319.99999999999994
a/netherlands/507/2012,a/hong_kong/5659/2012,319.99999999999994
a/stockholm/32/2012,a/california/07/2009,1279.9999999999998
a/stockholm/32/2012,a/bayern/69/2009,639.9999999999999
a/stockholm/32/2012,a/lviv/n6/2009,1279.9999999999998
a/stockholm/32/2012,a/hong_kong/3934/2011,1279.9999999999998
a/stockholm/32/2012,a/astrakhan/1/2011,1279.9999999999998
a/stockholm/32/2012,a/st._petersburg/27/2011,1279.9999999999998
a/stockholm/32/2012,a/st._petersburg/100/2011,2560.0
a/stockholm/32/2012,a/hong_kong/5659/2012,5120.0
a/stockholm/34/2012,a/california/07/2009,319.99999999999994
a/stockholm/34/2012,a/bayern/69/2009,319.99999999999994
a/stockholm/34/2012,a/lviv/n6/2009,319.99999999999994
a/stockholm/34/2012,a/hong_kong/3934/2011,639.9999999999999
a/stockholm/34/2012,a/astrakhan/1/2011,639.9999999999999
a/stockholm/34/2012,a/st._petersburg/27/2011,639.9999999999999
a/stockholm/34/2012,a/st._petersburg/100/2011,1279.9999999999998
a/stockholm/34/2012,a/hong_kong/5659/2012,1279.9999999999998
a/corrientes/66335/2012,a/california/07/2009,2560.0
a/corrientes/66335/2012,a/bayern/69/2009,1279.9999999999998
